timestamp_us,I_mV,II_mV,III_mV,aVR_mV,aVL_mV,aVF_mV,V1_mV,V2_mV,V3_mV,V4_mV,V5_mV,V6_mV,gain
683605768,-11.590528,-13.050175,-1.459646,12.320352,-5.065441,-7.254910,-4.778528,-4.066038,-16.849089,-16.928530,-16.700983,-16.783047,6
683607765,-11.583185,-13.046932,-1.463747,12.315059,-5.059719,-7.255340,-4.775095,-4.062605,-16.848230,-16.927719,-16.700220,-16.782618,6
683609762,-11.547756,-13.030434,-1.482677,12.289095,-5.032539,-7.256556,-4.786348,-4.087067,-16.867304,-16.947222,-16.718340,-16.798353,6
683611759,-11.508322,-13.022089,-1.513767,12.265205,-4.997277,-7.267928,-4.816866,-4.136896,-16.901684,-16.981554,-16.753864,-16.832161,6
683613757,-11.479759,-13.015985,-1.536226,12.247872,-4.971766,-7.276106,-4.833889,-4.168129,-16.926575,-17.005968,-16.779137,-16.858530,6
683615755,-11.470652,-13.014317,-1.543665,12.242484,-4.963493,-7.278991,-4.842091,-4.183722,-16.939592,-17.019272,-16.792583,-16.873693,6
683617752,-11.479330,-13.018894,-1.539564,12.249112,-4.969883,-7.279229,-4.840565,-4.182339,-16.939354,-17.018986,-16.792011,-16.875219,6
683619750,-11.501694,-13.024855,-1.523161,12.263274,-4.989266,-7.274008,-4.829550,-4.162025,-16.926384,-17.005777,-16.778326,-16.863871,6
683621748,-11.534500,-13.034296,-1.499796,12.284398,-5.017352,-7.267046,-4.810667,-4.128885,-16.900492,-16.980886,-16.753483,-16.839838,6
683623745,-11.573172,-13.046265,-1.473093,12.309718,-5.050039,-7.259679,-4.786921,-4.085875,-16.869164,-16.949224,-16.722298,-16.809988,6
683625743,-11.591578,-13.050556,-1.458979,12.321067,-5.066299,-7.254767,-4.772758,-4.058456,-16.848373,-16.927671,-16.700792,-16.789341,6
683627741,-11.579609,-13.046312,-1.466703,12.312961,-5.056453,-7.256508,-4.770565,-4.058695,-16.847181,-16.926813,-16.699409,-16.788244,6
683629738,-11.541748,-13.033199,-1.491451,12.287474,-5.025148,-7.262325,-4.791784,-4.093599,-16.869307,-16.949987,-16.722059,-16.810846,6
683631736,-11.497307,-13.019514,-1.522207,12.258410,-4.987550,-7.270861,-4.817152,-4.138422,-16.901922,-16.982317,-16.755104,-16.843987,6
683633734,-11.468124,-13.010454,-1.542330,12.239289,-4.962897,-7.276392,-4.830933,-4.168224,-16.924667,-17.004585,-16.777706,-16.867495,6
683635732,-11.454153,-13.005066,-1.550913,12.229609,-4.951620,-7.277989,-4.835796,-4.180813,-16.936588,-17.016602,-16.789436,-16.879463,6
683637729,-11.457539,-13.001537,-1.543999,12.229538,-4.956770,-7.272768,-4.829597,-4.175282,-16.934872,-17.014027,-16.787004,-16.875410,6
683639730,-11.483097,-13.009167,-1.526070,12.246132,-4.978514,-7.267618,-4.814672,-4.149914,-16.919994,-17.000389,-16.772938,-16.860914,6
683641727,-11.484909,-12.991238,-1.506329,12.238073,-4.989290,-7.248783,-4.718447,-4.043388,-16.869974,-16.950417,-16.718721,-16.782522,6
683643725,-11.508560,-12.992287,-1.483727,12.250423,-5.012417,-7.238007,-4.741383,-4.042578,-16.854477,-16.934919,-16.704369,-16.721296,6
683645724,-11.536026,-13.001251,-1.465225,12.268639,-5.035400,-7.233238,-4.758215,-4.045343,-16.844463,-16.924810,-16.695786,-16.714859,6
683647721,-11.534548,-13.002205,-1.467657,12.268376,-5.033445,-7.234931,-4.756498,-4.043770,-16.843891,-16.923761,-16.694593,-16.726589,6
683649718,-11.501122,-12.991190,-1.490068,12.246156,-5.005527,-7.240629,-4.769135,-4.068995,-16.862440,-16.942167,-16.713095,-16.741467,6
683651716,-11.465216,-12.985992,-1.520777,12.225604,-4.972219,-7.253385,-4.798841,-4.117203,-16.895247,-16.975307,-16.745234,-16.765451,6
