timestamp_us,I_mV,II_mV,III_mV,aVR_mV,aVL_mV,aVF_mV,V1_mV,V2_mV,V3_mV,V4_mV,V5_mV,V6_mV,gain
72824944,-11.257505,-12.060118,-0.802612,11.658812,-5.227447,-6.431365,-4.085684,-3.482771,-16.311455,-16.410255,-16.170692,-13.924599,6
72826941,-11.301613,-12.063074,-0.761461,11.682343,-5.270076,-6.412268,-4.072618,-3.431416,-16.262388,-16.364384,-16.125965,-13.693762,6
72828937,-11.346531,-12.076569,-0.730038,11.711550,-5.308247,-6.403303,-4.097080,-3.426600,-16.249275,-16.340113,-16.104603,-13.688517,6
72830934,-11.349726,-12.081289,-0.731564,11.715508,-5.309081,-6.406426,-4.098558,-3.423643,-16.244078,-16.334915,-16.099596,-13.704157,6
72832930,-11.301327,-12.066221,-0.764894,11.683774,-5.268216,-6.415558,-4.119205,-3.464651,-16.275883,-16.365719,-16.130638,-13.730431,6
72834927,-11.224413,-12.043095,-0.818682,11.633754,-5.202866,-6.430888,-4.155207,-3.533792,-16.331959,-16.420841,-16.184616,-13.739061,6
72836924,-11.166668,-12.031031,-0.864363,11.598849,-5.151153,-6.447697,-4.195404,-3.601074,-16.386127,-16.472864,-16.237068,-13.773632,6
72838921,-11.140537,-12.027216,-0.886679,11.583877,-5.126929,-6.456947,-4.214907,-3.640270,-16.418648,-16.504478,-16.268921,-13.809538,6
72840918,-11.151838,-12.029791,-0.877953,11.590815,-5.136943,-6.453872,-4.214525,-3.638840,-16.421413,-16.507006,-16.270590,-13.826370,6
72842914,-11.196947,-12.045240,-0.848293,11.621094,-5.174327,-6.446767,-4.196978,-3.606033,-16.396904,-16.482973,-16.246605,-13.828087,6
72844912,-11.265469,-12.068558,-0.803089,11.667013,-5.231190,-6.435823,-4.167843,-3.547573,-16.349745,-16.436481,-16.200972,-13.822174,6
72846908,-11.334467,-12.089729,-0.755262,11.712098,-5.289602,-6.422496,-4.126835,-3.476000,-16.293573,-16.381979,-16.145182,-13.799047,6
72848905,-11.377859,-12.102032,-0.724173,11.739945,-5.326843,-6.413102,-4.104185,-3.428555,-16.253042,-16.342926,-16.107130,-13.789272,6
72850901,-11.380005,-12.106228,-0.726223,11.743116,-5.326891,-6.416225,-4.102039,-3.423548,-16.244984,-16.336298,-16.100121,-13.803196,6
72852898,-11.328125,-12.091780,-0.763655,11.709952,-5.282235,-6.427717,-4.124689,-3.466129,-16.276693,-16.367149,-16.131020,-13.837481,6
72854895,-11.245060,-12.067366,-0.822306,11.656213,-5.211377,-6.444836,-4.156160,-3.534555,-16.332150,-16.421366,-16.185093,-13.863707,6
72856892,-11.179972,-12.049818,-0.869846,11.614895,-5.155063,-6.459832,-4.191208,-3.601742,-16.385126,-16.472483,-16.236877,-13.872957,6
72858888,-11.153746,-12.046528,-0.892782,11.600137,-5.130482,-6.469655,-4.212904,-3.644896,-16.419172,-16.505194,-16.269302,-13.905382,6
72860885,-11.160564,-12.048388,-0.887823,11.604476,-5.136371,-6.468105,-4.212523,-3.647852,-16.422367,-16.508341,-16.272259,-13.925409,6
72862882,-11.198187,-12.056923,-0.858736,11.627555,-5.169725,-6.457829,-4.193401,-3.614235,-16.398907,-16.484833,-16.248751,-13.928699,6
72864880,-11.259460,-12.073231,-0.813770,11.666346,-5.222845,-6.443501,-4.163265,-3.555822,-16.351652,-16.438818,-16.202879,-13.919735,6
72866876,-11.323500,-12.092590,-0.769091,11.708045,-5.277205,-6.430840,-4.123402,-3.483868,-16.293478,-16.383028,-16.146708,-13.894749,6
72868873,-11.359739,-12.099409,-0.739670,11.729574,-5.310035,-6.419539,-4.096794,-3.432226,-16.249132,-16.340542,-16.104746,-13.849592,6
72870869,-11.361361,-12.102699,-0.741339,11.732030,-5.310011,-6.422019,-4.102182,-3.431177,-16.244841,-16.334963,-16.099548,-13.840675,6
72872866,-11.315203,-12.091494,-0.776291,11.703348,-5.269456,-6.433892,-4.124784,-3.474522,-16.277361,-16.366577,-16.130877,-13.875628,6
72874863,-11.243486,-12.075186,-0.831699,11.659336,-5.205894,-6.453443,-4.162598,-3.548670,-16.336536,-16.423893,-16.187859,-13.925791,6
72876860,-11.183691,-12.060976,-0.877285,11.622334,-5.153203,-6.469131,-4.197407,-3.614283,-16.389513,-16.475010,-16.239023,-13.972092,6
72878857,-11.156273,-12.055492,-0.899220,11.605883,-5.128527,-6.477356,-4.215670,-3.653717,-16.422319,-16.507101,-16.271448,-14.006186,6
72880853,-11.160469,-12.054586,-0.894117,11.607528,-5.133176,-6.474352,-4.216480,-3.654099,-16.424847,-16.510391,-16.274071,-14.023161,6
72882850,-11.200047,-12.064266,-0.864220,11.632156,-5.167913,-6.464243,-4.198551,-3.621769,-16.401386,-16.487455,-16.251135,-14.023972,6
72884847,-11.264563,-12.081814,-0.817251,11.673188,-5.223656,-6.449533,-4.166937,-3.562212,-16.353464,-16.440821,-16.204453,-14.015150,6
72886844,-11.330938,-12.101555,-0.770617,11.716247,-5.280161,-6.436086,-4.130745,-3.492785,-16.296196,-16.384602,-16.148758,-13.993835,6
72888840,-11.369991,-12.109518,-0.739527,11.739755,-5.315232,-6.424522,-4.104757,-3.440475,-16.253519,-16.343307,-16.107655,-13.971281,6
72890837,-11.366177,-12.102890,-0.736713,11.734533,-5.314732,-6.419802,-4.096699,-3.426552,-16.241646,-16.332865,-16.097164,-13.933849,6
72892834,-11.320877,-12.092543,-0.771666,11.706710,-5.274606,-6.432104,-4.125547,-3.472328,-16.276312,-16.365862,-16.129398,-13.956881,6
72894831,-11.247206,-12.075901,-0.828695,11.661553,-5.209255,-6.452298,-4.168320,-3.549099,-16.335678,-16.423082,-16.187382,-14.006901,6
