timestamp_us,I_mV,II_mV,III_mV,aVR_mV,aVL_mV,aVF_mV,V1_mV,V2_mV,V3_mV,V4_mV,V5_mV,V6_mV,gain
942872633,-11.569357,-13.173437,-1.604080,12.371397,-4.982638,-7.388759,-4.897642,-4.229927,-16.961765,-17.041636,-16.813803,-16.907024,6
942874630,-11.564064,-13.168955,-1.604891,12.366509,-4.979587,-7.386923,-4.894590,-4.229069,-16.961813,-17.042017,-16.814137,-16.907215,6
942876628,-11.552286,-13.163328,-1.611042,12.357807,-4.970622,-7.387185,-4.894257,-4.232836,-16.965675,-17.046118,-16.817427,-16.910648,6
942878626,-11.543798,-13.161373,-1.617575,12.352586,-4.963112,-7.389474,-4.902363,-4.241705,-16.970921,-17.051363,-16.822958,-16.916180,6
942880624,-11.541510,-13.163757,-1.622248,12.352633,-4.959631,-7.393003,-4.907990,-4.248524,-16.975355,-17.055368,-16.827536,-16.920757,6
942882622,-11.543417,-13.165665,-1.622248,12.354541,-4.960585,-7.393956,-4.909468,-4.250479,-16.976404,-17.056084,-16.828871,-16.922045,6
942884620,-11.548710,-13.167191,-1.618481,12.357950,-4.965115,-7.392836,-4.909182,-4.247999,-16.976070,-17.055559,-16.828442,-16.921520,6
942886618,-11.551857,-13.168478,-1.616621,12.360168,-4.967618,-7.392550,-4.905891,-4.243469,-16.972256,-17.051506,-16.824293,-16.917849,6
942888616,-11.559105,-13.172579,-1.613474,12.365842,-4.972816,-7.393026,-4.901457,-4.236555,-16.967821,-17.047119,-16.819811,-16.913462,6
942890614,-11.561346,-13.173199,-1.611853,12.367272,-4.974747,-7.392526,-4.899454,-4.231167,-16.963339,-17.043209,-16.815376,-16.909456,6
942892613,-11.561584,-13.172007,-1.610422,12.366796,-4.975581,-7.391214,-4.899645,-4.228115,-16.962528,-17.042923,-16.814423,-16.908836,6
942894610,-11.558771,-13.170195,-1.611423,12.364483,-4.973674,-7.390809,-4.898453,-4.226255,-16.963768,-17.043018,-16.814899,-16.909122,6
