timestamp_us,I_mV,II_mV,III_mV,aVR_mV,aVL_mV,aVF_mV,V1_mV,V2_mV,V3_mV,V4_mV,V5_mV,V6_mV,gain
46123063,-11.477566,-13.204718,-1.727152,12.341142,-4.875207,-7.465935,-5.014753,-4.371595,-17.092562,-17.173100,-16.945219,-17.030048,6
46125061,-11.521864,-13.220453,-1.698589,12.371159,-4.911637,-7.459521,-4.998255,-4.338646,-17.067719,-17.147827,-16.919899,-17.006588,6
46127059,-11.591673,-13.240433,-1.648760,12.416053,-4.971457,-7.444596,-4.964972,-4.275179,-17.015553,-17.094946,-16.867113,-16.956329,6
46129057,-11.660147,-13.263273,-1.603127,12.461710,-5.028510,-7.433200,-4.933071,-4.209852,-16.959429,-17.039251,-16.811323,-16.902256,6
46131055,-11.693382,-13.272524,-1.579142,12.482953,-5.057120,-7.425833,-4.917479,-4.177284,-16.928148,-17.007399,-16.780329,-16.871786,6
46133054,-11.675501,-13.268089,-1.592588,12.471795,-5.041456,-7.430339,-4.924631,-4.191303,-16.936636,-17.015934,-16.788578,-16.880655,6
46135051,-11.610126,-13.248968,-1.638842,12.429547,-4.985642,-7.443905,-4.948902,-4.246044,-16.979027,-17.059469,-16.831684,-16.923714,6
46137049,-11.539412,-13.224506,-1.685095,12.381959,-4.927158,-7.454801,-4.977846,-4.305410,-17.027521,-17.107964,-16.880798,-16.971445,6
46139047,-11.493397,-13.207865,-1.714468,12.350631,-4.889464,-7.461166,-5.005550,-4.353046,-17.067385,-17.146778,-16.919947,-17.009306,6
46141045,-11.478662,-13.209057,-1.730394,12.343860,-4.874134,-7.469726,-5.020094,-4.381990,-17.093229,-17.173195,-16.945219,-17.034292,6
46143043,-11.494493,-13.214827,-1.720333,12.354660,-4.887080,-7.467580,-5.018377,-4.380131,-17.093372,-17.173576,-16.945934,-17.035389,6
46145041,-11.537361,-13.230276,-1.692915,12.383819,-4.922223,-7.461596,-4.999733,-4.348612,-17.068672,-17.148638,-16.920996,-17.012072,6
46147039,-11.605215,-13.251638,-1.646423,12.428427,-4.979396,-7.449031,-4.968452,-4.285717,-17.016459,-17.096853,-16.868639,-16.960716,6
46149037,-11.674833,-13.273382,-1.598549,12.474108,-5.038142,-7.435966,-4.935265,-4.218340,-16.960144,-17.040539,-16.812420,-16.905355,6
46151035,-11.707401,-13.283300,-1.575899,12.495351,-5.065751,-7.429600,-4.917336,-4.183245,-16.928005,-17.008448,-16.780472,-16.873884,6
46153034,-11.686134,-13.275909,-1.589775,12.481022,-5.048180,-7.432842,-4.920673,-4.193878,-16.935396,-17.015505,-16.787577,-16.881895,6
46155031,-11.614990,-13.252926,-1.637936,12.433958,-4.988527,-7.445431,-4.943991,-4.245567,-16.977024,-17.057562,-16.829109,-16.922331,6
46157030,-11.543941,-13.225842,-1.681900,12.384892,-4.931021,-7.453871,-4.969788,-4.300547,-17.026138,-17.106485,-16.877985,-16.970253,6
46159028,-11.501646,-13.210106,-1.708460,12.355876,-4.896593,-7.459283,-4.995155,-4.347849,-17.065287,-17.145443,-16.917515,-17.009354,6
46161026,-11.481857,-13.205194,-1.723337,12.343526,-4.879260,-7.464266,-5.007696,-4.373884,-17.090130,-17.170620,-16.942596,-17.034054,6
46163024,-11.491108,-13.208246,-1.717138,12.349677,-4.886985,-7.462692,-5.006647,-4.370403,-17.090845,-17.170811,-16.943312,-17.034340,6
46165022,-11.530876,-13.224888,-1.694012,12.377882,-4.918432,-7.459450,-4.992437,-4.337263,-17.066383,-17.146587,-16.918612,-17.010593,6
46167020,-11.596203,-13.245964,-1.649761,12.421083,-4.973221,-7.447863,-4.959345,-4.274845,-17.014122,-17.094421,-16.866493,-16.959953,6
46169018,-11.662197,-13.267231,-1.605034,12.464714,-5.028582,-7.436132,-4.923868,-4.207802,-16.958523,-17.038774,-16.810179,-16.904879,6
46171016,-11.689234,-13.275099,-1.585865,12.482166,-5.051684,-7.430482,-4.905891,-4.171658,-16.926765,-17.005968,-16.778183,-16.873074,6
46173015,-11.669016,-13.272095,-1.603079,12.470555,-5.032969,-7.437587,-4.914570,-4.185057,-16.934252,-17.013788,-16.785860,-16.880798,6
46175012,-11.604023,-13.250780,-1.646757,12.427402,-4.978633,-7.448769,-4.939604,-4.235792,-16.976213,-17.056894,-16.828632,-16.922188,6
46177010,-11.537838,-13.228989,-1.691151,12.383413,-4.923344,-7.460070,-4.969645,-4.295158,-17.025852,-17.106819,-16.877747,-16.970396,6
46179009,-11.500883,-13.219357,-1.718473,12.360120,-4.891205,-7.468915,-4.995298,-4.343605,-17.065573,-17.145872,-16.917610,-17.010736,6
46181007,-11.482763,-13.215017,-1.732254,12.348890,-4.875255,-7.473636,-5.010557,-4.370975,-17.090273,-17.171001,-16.942692,-17.036057,6
46183005,-11.490917,-13.215065,-1.724148,12.352991,-4.883385,-7.469606,-5.007029,-4.366016,-17.090750,-17.170811,-16.943598,-17.036200,6
46185003,-11.530972,-13.227463,-1.696491,12.379217,-4.917240,-7.461977,-4.988384,-4.333019,-17.065144,-17.146301,-16.918039,-17.011404,6
46187001,-11.601067,-13.247919,-1.646852,12.424493,-4.977107,-7.447386,-4.957151,-4.271555,-17.014217,-17.095041,-16.866875,-16.960716,6
46188999,-11.665916,-13.266516,-1.600599,12.466216,-5.032659,-7.433558,-4.923487,-4.205608,-16.958475,-17.038441,-16.810656,-16.904688,6
46190997,-11.690521,-13.271379,-1.580858,12.480950,-5.054832,-7.426119,-4.905081,-4.169989,-16.926146,-17.005968,-16.778231,-16.873169,6
46192996,-11.670065,-13.265705,-1.595640,12.467885,-5.037212,-7.430673,-4.910564,-4.181576,-16.933489,-17.013264,-16.785812,-16.881418,6
46194993,-11.608791,-13.249826,-1.641035,12.429309,-4.983878,-7.445431,-4.935932,-4.234695,-16.976213,-17.056131,-16.828823,-16.923237,6
46196991,-11.547899,-13.233471,-1.685572,12.390685,-4.931164,-7.459521,-4.969549,-4.299402,-17.028427,-17.107964,-16.880369,-16.974783,6
46198990,-11.510086,-13.223648,-1.713562,12.366867,-4.898262,-7.468605,-4.991484,-4.342222,-17.066908,-17.146921,-16.918230,-17.012930,6
46200990,-11.488056,-13.213730,-1.725674,12.350893,-4.881191,-7.469702,-4.986715,-4.352188,-17.084455,-17.164660,-16.935492,-17.028379,6
46202988,-11.459494,-13.184261,-1.724768,12.321877,-4.867363,-7.454515,-4.909134,-4.279804,-17.059755,-17.139721,-16.906834,-16.989899,6
46204986,-11.485291,-13.188982,-1.703691,12.337136,-4.890800,-7.446337,-4.947615,-4.296494,-17.054701,-17.134809,-16.904640,-16.983795,6
46206985,-11.559200,-13.212490,-1.653290,12.385845,-4.952955,-7.432890,-4.942751,-4.261065,-17.011881,-17.092323,-16.863775,-16.947031,6
46208983,-11.634398,-13.240671,-1.606274,12.437534,-5.014062,-7.423472,-4.910707,-4.196072,-16.956806,-17.036629,-16.808319,-16.895199,6
46210981,-11.666346,-13.252974,-1.586628,12.459660,-5.039859,-7.419801,-4.894352,-4.162359,-16.925144,-17.004728,-16.776657,-16.865778,6
46212981,-11.645842,-13.249350,-1.603508,12.447596,-5.021167,-7.426429,-4.901838,-4.176807,-16.932249,-17.012215,-16.784382,-16.873789,6
46214977,-11.584473,-13.227510,-1.643038,12.405992,-4.970717,-7.435274,-4.923677,-4.229403,-16.973352,-17.053938,-16.825867,-16.914511,6
46216975,-11.520672,-13.204479,-1.683807,12.362576,-4.918432,-7.444143,-4.951668,-4.287434,-17.022753,-17.103004,-16.875267,-16.960907,6
46218973,-11.484098,-13.195229,-1.711130,12.339664,-4.886484,-7.453179,-4.976845,-4.335928,-17.063427,-17.143440,-16.915369,-17.000389,6
46220971,-11.470795,-13.197374,-1.726580,12.334085,-4.872108,-7.461977,-4.991007,-4.364204,-17.089081,-17.168856,-16.941595,-17.026329,6
46222969,-11.483431,-13.203382,-1.719952,12.343407,-4.881740,-7.461667,-4.990101,-4.362297,-17.090034,-17.169666,-16.942072,-17.028093,6
46224967,-11.524725,-13.217402,-1.692677,12.371063,-4.916024,-7.455039,-4.974031,-4.330969,-17.065668,-17.145348,-16.917801,-17.006254,6
46226965,-11.592007,-13.237524,-1.645517,12.414765,-4.973245,-7.441521,-4.945040,-4.270792,-17.015314,-17.094707,-16.867447,-16.957235,6
46228964,-11.662292,-13.259220,-1.596928,12.460756,-5.032682,-7.428074,-4.913044,-4.202938,-16.958618,-17.038393,-16.810703,-16.902447,6
46230962,-11.693478,-13.268757,-1.575279,12.481117,-5.059099,-7.422018,-4.897642,-4.166317,-16.925716,-17.006016,-16.777945,-16.870451,6
46232960,-11.677980,-13.265467,-1.587486,12.471724,-5.045247,-7.426476,-4.903269,-4.176950,-16.932631,-17.012167,-16.784286,-16.877222,6
46234958,-11.610794,-13.244343,-1.633549,12.427568,-4.988623,-7.438946,-4.928207,-4.230309,-16.974831,-17.054510,-16.827154,-16.919184,6
46236956,-11.542463,-13.228035,-1.685572,12.385249,-4.928446,-7.456803,-4.966927,-4.296827,-17.027283,-17.107439,-16.879845,-16.971254,6
46238955,-11.495209,-13.212490,-1.717281,12.353849,-4.888964,-7.464886,-4.985380,-4.338598,-17.064428,-17.144203,-16.916561,-17.007637,6
46240952,-11.473799,-13.205004,-1.731205,12.339401,-4.871297,-7.468104,-4.997683,-4.362011,-17.087650,-17.168283,-16.939592,-17.030048,6
46242950,-11.486244,-13.212490,-1.726246,12.349367,-4.879999,-7.469368,-5.002451,-4.364443,-17.090797,-17.170620,-16.943073,-17.033386,6
46244948,-11.530018,-13.228226,-1.698208,12.379122,-4.915905,-7.463217,-4.986382,-4.334307,-17.067146,-17.146921,-16.919613,-17.010498,6
46246946,-11.599112,-13.251877,-1.652765,12.425494,-4.973173,-7.452321,-4.953671,-4.273653,-17.015791,-17.096138,-16.868305,-16.960096,6
46248944,-11.666965,-13.277292,-1.610327,12.472129,-5.028319,-7.443810,-4.922295,-4.209280,-16.959524,-17.039824,-16.812038,-16.904879,6
46250942,-11.696672,-13.288593,-1.591921,12.492633,-5.052376,-7.440257,-4.907322,-4.172897,-16.926908,-17.006922,-16.779280,-16.872931,6
46252940,-11.676455,-13.281441,-1.604986,12.478948,-5.035734,-7.443213,-4.912758,-4.183722,-16.933441,-17.012930,-16.785336,-16.879511,6
46254938,-11.611509,-13.259602,-1.648092,12.435555,-4.981709,-7.453847,-4.936457,-4.236174,-16.975451,-17.055082,-16.826534,-16.920376,6
46256936,-11.549330,-13.242912,-1.693583,12.396121,-4.927874,-7.468247,-4.971313,-4.302883,-17.027807,-17.107344,-16.880083,-16.973114,6
46258934,-11.505795,-13.229370,-1.723576,12.367582,-4.891109,-7.476473,-4.994583,-4.348373,-17.066908,-17.146778,-16.919661,-17.011929,6
46260932,-11.484671,-13.223219,-1.738548,12.353945,-4.873061,-7.480884,-5.005503,-4.375029,-17.092276,-17.171812,-16.944742,-17.036724,6
46262931,-11.497450,-13.224745,-1.727295,12.361097,-4.885077,-7.476020,-5.003929,-4.371214,-17.092896,-17.171955,-16.945219,-17.037487,6
46264928,-11.536646,-13.231611,-1.694965,12.384129,-4.920840,-7.463288,-4.980850,-4.331398,-17.065859,-17.145586,-16.917753,-17.010164,6
46266926,-11.604023,-13.252497,-1.648474,12.428260,-4.977775,-7.450485,-4.953337,-4.271841,-17.015600,-17.095613,-16.867256,-16.960716,6
46268924,-11.672497,-13.275194,-1.602697,12.473845,-5.034900,-7.438946,-4.921389,-4.205942,-16.960001,-17.039394,-16.811705,-16.905642,6
