timestamp_us,I_mV,II_mV,III_mV,aVR_mV,aVL_mV,aVF_mV,V1_mV,V2_mV,V3_mV,V4_mV,V5_mV,V6_mV,gain
199532792,-5.447912,7.399511,12.847424,-0.975800,-9.147668,10.123467,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199534790,-5.432892,7.416487,12.849379,-0.991797,-9.141135,10.132933,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199536787,-5.427217,7.428646,12.855864,-1.000714,-9.141541,10.142255,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199538784,-5.433178,7.436609,12.869787,-1.001716,-9.151483,10.153198,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199540781,-5.434608,7.442665,12.877274,-1.004028,-9.155941,10.159969,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199542778,-5.447197,7.447767,12.894964,-1.000285,-9.171081,10.171366,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199544775,-5.466175,7.440805,12.906981,-0.987315,-9.186578,10.173893,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199546772,-5.475760,7.427835,12.903595,-0.976038,-9.189677,10.165715,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199548769,-5.499649,7.405472,12.905121,-0.952911,-9.202385,10.155296,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199550766,-5.521822,7.386637,12.908459,-0.932407,-9.215140,10.147548,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199552763,-5.529499,7.394695,12.924194,-0.932598,-9.226847,10.159445,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199554761,-5.518055,7.407761,12.925816,-0.944853,-9.221935,10.166788,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199556758,-5.485010,7.439089,12.924099,-0.977039,-9.204555,10.181594,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199558755,-5.443621,7.480383,12.924004,-1.018381,-9.183812,10.202193,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199560752,-5.417109,7.492733,12.909842,-1.037812,-9.163475,10.201287,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199562749,-5.410957,7.484579,12.895536,-1.036811,-9.153247,10.190058,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199564746,-5.416965,7.454348,12.871313,-1.018691,-9.144139,10.162830,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199566743,-5.434561,7.410812,12.845373,-0.988126,-9.139967,10.128093,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199568740,-5.437279,7.390404,12.827682,-0.976562,-9.132481,10.109043,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199570737,-5.440664,7.392502,12.833166,-0.975919,-9.136915,10.112834,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199572734,-5.454779,7.415247,12.870026,-0.980234,-9.162402,10.142636,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199574731,-5.450344,7.449818,12.900162,-0.999737,-9.175253,10.174990,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199576728,-5.442142,7.465506,12.907648,-1.011682,-9.174895,10.186577,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199578725,-5.418158,7.457352,12.875509,-1.019597,-9.146833,10.166430,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199580722,-5.413151,7.448959,12.862110,-1.017904,-9.137630,10.155535,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199582721,-5.405760,7.454872,12.860632,-1.024556,-9.133196,10.157752,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199584716,-5.397034,7.456684,12.853718,-1.029825,-9.125376,10.155201,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199586713,-5.418110,7.441759,12.859869,-1.011825,-9.138989,10.150814,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199588711,-5.431366,7.424831,12.856197,-0.996733,-9.143782,10.140514,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199590707,-5.428171,7.417870,12.846041,-0.994849,-9.137106,10.131955,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199592705,-5.422878,7.419729,12.842607,-0.998425,-9.132743,10.131168,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199594704,-5.412674,7.427359,12.840033,-1.007342,-9.126353,10.133696,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199596702,-5.405045,7.427883,12.832928,-1.011419,-9.118986,10.130405,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199598699,-5.411577,7.433510,12.845087,-1.010966,-9.128332,10.139298,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199600696,-5.420828,7.451963,12.872791,-1.015568,-9.146810,10.162377,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199602693,-5.449247,7.472992,12.922239,-1.011872,-9.185743,10.197616,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199604690,-5.474520,7.464457,12.938976,-0.994968,-9.206748,10.201716,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199606687,-5.481291,7.450294,12.931585,-0.984502,-9.206438,10.190940,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199608684,-5.482197,7.432365,12.914562,-0.975084,-9.198380,10.173464,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199610681,-5.466175,7.418585,12.884760,-0.976205,-9.175467,10.151672,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199612680,-5.459833,7.413912,12.873745,-0.977039,-9.166789,10.143828,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199614675,-5.443525,7.434082,12.877607,-0.995278,-9.160566,10.155845,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199616672,-5.428410,7.457209,12.885618,-1.014400,-9.157014,10.171413,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199618670,-5.425596,7.465076,12.890673,-1.019740,-9.158134,10.177875,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199620667,-5.425787,7.462406,12.888193,-1.018310,-9.156990,10.175300,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199622664,-5.428600,7.468176,12.896776,-1.019788,-9.162688,10.182476,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
199624661,-5.438519,7.476044,12.914562,-1.018763,-9.176540,10.195303,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
