timestamp_us,I_mV,II_mV,III_mV,aVR_mV,aVL_mV,aVF_mV,V1_mV,V2_mV,V3_mV,V4_mV,V5_mV,V6_mV,gain
383977974,0.962400,-5.982590,-6.944990,2.510095,3.953695,-6.463790,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
383979970,0.973654,-5.989075,-6.962729,2.507710,3.968191,-6.475902,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
383981967,0.968218,-6.015968,-6.984186,2.523875,3.976202,-6.500077,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
383983965,0.984430,-6.034565,-7.018995,2.525067,4.001713,-6.526780,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
383985962,0.996447,-6.042910,-7.039356,2.523232,4.017901,-6.541133,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
383987960,1.021242,-6.029654,-7.050896,2.504206,4.036069,-6.540275,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
383989957,1.000166,-6.015730,-7.015896,2.507782,4.008031,-6.515813,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
383991954,0.970173,-5.991888,-6.962061,2.510858,3.966117,-6.476974,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
383993952,0.956249,-5.975437,-6.931686,2.509594,3.943968,-6.453562,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
383995949,0.951195,-5.975294,-6.926489,2.512050,3.938842,-6.450891,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
383997947,0.950766,-5.980825,-6.931591,2.515030,3.941178,-6.456208,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
383999944,0.964069,-5.983400,-6.947470,2.509665,3.955770,-6.465435,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384001941,0.992680,-5.975962,-6.968641,2.491641,3.980660,-6.472301,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384003939,1.012373,-5.975056,-6.987429,2.481341,3.999901,-6.481242,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384005936,1.007128,-5.982447,-6.989574,2.487659,3.998351,-6.486011,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384007934,1.011467,-5.978441,-6.989908,2.483487,4.000688,-6.484175,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384009931,1.007557,-5.967474,-6.975031,2.479959,3.991294,-6.471252,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384011930,0.978041,-5.962181,-6.940222,2.492070,3.959131,-6.451201,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384013926,0.967407,-5.962467,-6.929874,2.497530,3.948641,-6.446171,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384015924,0.953817,-5.956936,-6.910753,2.501559,3.932285,-6.433845,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384017922,0.982666,-5.948162,-6.930828,2.482748,3.956747,-6.439495,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384019919,1.004887,-5.965281,-6.970167,2.480197,3.987527,-6.467724,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384021916,1.007318,-5.975246,-6.982565,2.483964,3.994942,-6.478906,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384023914,1.009846,-5.968618,-6.978464,2.479386,3.994155,-6.473541,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384025911,1.008129,-5.967426,-6.975555,2.479649,3.991842,-6.471491,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384027908,1.018572,-5.963898,-6.982470,2.472663,4.000521,-6.473184,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384029906,0.986242,-5.963326,-6.949568,2.488542,3.967905,-6.456447,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384031903,0.997210,-5.960560,-6.957769,2.481675,3.977489,-6.459165,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384033901,0.998878,-5.953836,-6.952715,2.477479,3.975797,-6.453276,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384035898,0.986004,-5.946493,-6.932497,2.480245,3.959250,-6.439495,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384037896,0.987864,-5.945063,-6.932926,2.478600,3.960395,-6.438994,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384039893,1.007032,-5.940390,-6.947422,2.466679,3.977227,-6.443906,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384041890,1.014090,-5.944586,-6.958675,2.465248,3.986382,-6.451631,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384043888,1.032877,-5.951357,-6.984234,2.459240,4.008555,-6.467795,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384045885,1.034880,-5.947876,-6.982756,2.456498,4.008818,-6.465316,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384047883,1.031590,-5.943680,-6.975269,2.456045,4.003429,-6.459475,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384049880,1.027155,-5.949354,-6.976509,2.461100,4.001832,-6.462932,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384051877,1.018095,-5.943489,-6.961584,2.462697,3.989840,-6.452537,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384053875,1.013184,-5.924320,-6.937504,2.455568,3.975344,-6.430912,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384055872,0.998354,-5.916405,-6.914759,2.459025,3.956556,-6.415582,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384057870,1.000738,-5.910540,-6.911278,2.454901,3.956008,-6.410909,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384059868,1.022339,-5.914068,-6.936407,2.445865,3.979373,-6.425238,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384061865,1.039457,-5.914688,-6.954145,2.437615,3.996801,-6.434417,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384063862,1.064205,-5.911493,-6.975698,2.423644,4.019952,-6.443596,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384065860,1.069307,-5.912495,-6.981802,2.421594,4.025555,-6.447148,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384067857,1.053286,-5.920601,-6.973886,2.433658,4.013586,-6.447244,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384069855,1.063395,-5.915165,-6.978559,2.425885,4.020977,-6.446862,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384071852,1.055908,-5.907202,-6.963110,2.425647,4.009509,-6.435156,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384073849,1.046610,-5.892086,-6.938696,2.422738,3.992653,-6.415391,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
384075847,1.043272,-5.871582,-6.914854,2.414155,3.979063,-6.393218,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
