timestamp_us,I_mV,II_mV,III_mV,aVR_mV,aVL_mV,aVF_mV,V1_mV,V2_mV,V3_mV,V4_mV,V5_mV,V6_mV,gain
748316095,0.292587,-10.575867,-10.868454,5.141640,5.580521,-10.722160,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748318091,0.290966,-10.682201,-10.973167,5.195618,5.632067,-10.827684,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748320089,0.251102,-10.474586,-10.725689,5.111742,5.488396,-10.600138,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748322087,0.209618,-10.273838,-10.483456,5.032110,5.346537,-10.378647,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748324085,0.157642,-10.117722,-10.275364,4.980040,5.216503,-10.196543,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748326083,0.120926,-9.783554,-9.904480,4.831314,5.012703,-9.844017,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748328080,0.109386,-9.556770,-9.666157,4.723692,4.887772,-9.611464,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748330078,0.112629,-9.632492,-9.745121,4.759932,4.928875,-9.688807,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748332076,0.132179,-9.702396,-9.834576,4.785109,4.983377,-9.768486,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748334074,0.168419,-9.741688,-9.910107,4.786634,5.039263,-9.825897,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748336071,0.202465,-9.962368,-10.164833,4.879951,5.183649,-10.063601,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748338069,0.229740,-10.061836,-10.291576,4.916048,5.260658,-10.176706,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748340067,0.218773,-9.874725,-10.093498,4.827976,5.156136,-9.984112,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748342065,0.177193,-9.714985,-9.892178,4.768896,5.034685,-9.803581,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748344062,0.131035,-9.599304,-9.730339,4.734135,4.930687,-9.664822,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748346060,0.097084,-9.320641,-9.417725,4.611778,4.757404,-9.369183,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748348058,0.075245,-9.184551,-9.259796,4.554653,4.667521,-9.222174,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748350056,0.064850,-9.340382,-9.405231,4.637766,4.735041,-9.372807,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748352054,0.085163,-9.466267,-9.551430,4.690552,4.818296,-9.508848,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748354052,0.123024,-9.559155,-9.682178,4.718065,4.902601,-9.620667,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748356052,0.160313,-9.842205,-10.002518,4.840946,5.081415,-9.922361,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748358048,0.180340,-9.962749,-10.143089,4.891205,5.161715,-10.052919,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748360045,0.181866,-9.792805,-9.974670,4.805470,5.078268,-9.883738,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748362043,0.157738,-9.650898,-9.808636,4.746580,4.983187,-9.729767,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748364041,0.115299,-9.561443,-9.676743,4.723072,4.896021,-9.619093,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748366039,0.096703,-9.294510,-9.391212,4.598904,4.743958,-9.342861,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748368037,0.070953,-9.135818,-9.206772,4.532433,4.638863,-9.171295,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748370035,0.073051,-9.293461,-9.366512,4.610205,4.719782,-9.329987,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748372032,0.097656,-9.432220,-9.529877,4.667282,4.813766,-9.481049,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748374031,0.123405,-9.535122,-9.658527,4.705858,4.890966,-9.596825,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748376028,0.140285,-9.812546,-9.952831,4.836130,5.046558,-9.882689,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748378026,0.172043,-9.947300,-10.119343,4.887629,5.145693,-10.033321,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748380025,0.174809,-9.776020,-9.950829,4.800606,5.062819,-9.863424,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748382022,0.155163,-9.628677,-9.783840,4.736757,4.969501,-9.706259,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748384019,0.110912,-9.532738,-9.643650,4.710913,4.877281,-9.588194,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748386017,0.080109,-9.270763,-9.350872,4.595327,4.715490,-9.310818,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748388015,0.056076,-9.126854,-9.182930,4.535389,4.619503,-9.154892,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748390013,0.063419,-9.275627,-9.339046,4.606104,4.701233,-9.307337,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748392011,0.098991,-9.404850,-9.503841,4.652929,4.801416,-9.454346,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748394008,0.148392,-9.494686,-9.643078,4.673147,4.895735,-9.568882,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748396006,0.171947,-9.773636,-9.945583,4.800844,5.058765,-9.859610,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748398004,0.191498,-9.932232,-10.123730,4.870367,5.157614,-10.027981,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748400002,0.196457,-9.757710,-9.954166,4.780626,5.075312,-9.855938,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748402000,0.175476,-9.610367,-9.785843,4.717445,4.980659,-9.698105,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748403997,0.135422,-9.514236,-9.649658,4.689407,4.892540,-9.581947,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748405995,0.102997,-9.246731,-9.349728,4.571867,4.726362,-9.298229,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748407993,0.076580,-9.098244,-9.174824,4.510832,4.625702,-9.136534,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748409991,0.074100,-9.254169,-9.328270,4.590034,4.701185,-9.291220,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748411989,0.097370,-9.388924,-9.486294,4.645777,4.791832,-9.437609,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748413987,0.140858,-9.477901,-9.618759,4.668522,4.879808,-9.548330,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748415986,0.183392,-9.743118,-9.926510,4.779863,5.054951,-9.834814,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748417982,0.214195,-9.894562,-10.108757,4.840183,5.161476,-10.001659,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748419980,0.219440,-9.728527,-9.947968,4.754543,5.083704,-9.838247,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748421978,0.195217,-9.589767,-9.784985,4.697275,4.990101,-9.687376,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748423976,0.164604,-9.487152,-9.651756,4.661274,4.908180,-9.569454,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748425973,0.137329,-9.219074,-9.356403,4.540873,4.746866,-9.287739,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748427971,0.097370,-9.079552,-9.176922,4.491091,4.637146,-9.128237,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748429969,0.084496,-9.244537,-9.329033,4.580021,4.706764,-9.286785,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748431967,0.114822,-9.373283,-9.488106,4.629230,4.801464,-9.430695,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748433964,0.154591,-9.458160,-9.612751,4.651785,4.883671,-9.535456,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748435962,0.193214,-9.723949,-9.917164,4.765368,5.055189,-9.820557,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748437960,0.229645,-9.874439,-10.104084,4.822397,5.166864,-9.989262,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748439958,0.234032,-9.695721,-9.929752,4.730844,5.081892,-9.812737,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
748441956,0.216389,-9.550953,-9.767342,4.667282,4.991865,-9.659147,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,-800.000000,3
