timestamp_us,I_mV,II_mV,III_mV,aVR_mV,aVL_mV,aVF_mV,V1_mV,V2_mV,V3_mV,V4_mV,V5_mV,V6_mV,gain
36181091,-1.158428,-3.665829,-2.507401,2.412128,0.674486,-3.086615,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36183087,-1.161242,-3.683615,-2.522373,2.422428,0.680566,-3.102994,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36185084,-1.195955,-3.696299,-2.500343,2.446127,0.652194,-3.098321,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36187081,-1.227713,-3.677177,-2.449465,2.452445,0.610876,-3.063321,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36189077,-1.271296,-3.647423,-2.376127,2.459359,0.552416,-3.011775,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36191074,-1.316833,-3.631878,-2.315044,2.474356,0.499105,-2.973461,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36193071,-1.346779,-3.600073,-2.253294,2.473426,0.453258,-2.926683,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36195067,-1.333427,-3.547525,-2.214098,2.440476,0.440335,-2.880812,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36197064,-1.289177,-3.515768,-2.226591,2.402472,0.468707,-2.871180,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36199061,-1.221704,-3.483009,-2.261305,2.352357,0.519800,-2.872157,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36201057,-1.184797,-3.442669,-2.257872,2.313733,0.536537,-2.850270,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36203054,-1.145411,-3.362846,-2.217436,2.254128,0.536013,-2.790141,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36205051,-1.100588,-3.242111,-2.141523,2.171350,0.520468,-2.691817,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36207047,-1.076221,-3.124666,-2.048445,2.100444,0.486112,-2.586555,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36209044,-1.061630,-3.025770,-1.964140,2.043700,0.451255,-2.494955,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36211041,-1.021099,-2.932978,-1.911879,1.977038,0.445390,-2.422428,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36213037,-0.969982,-2.854347,-1.884365,1.912165,0.457191,-2.369356,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36215035,-0.915861,-2.772617,-1.856756,1.844239,0.470448,-2.314687,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36217031,-0.835371,-2.683592,-1.848221,1.759481,0.506425,-2.265906,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36219027,-0.741100,-2.626467,-1.885366,1.683784,0.572133,-2.255917,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36221024,-0.683689,-2.611876,-1.928186,1.647782,0.622249,-2.270031,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36223021,-0.642538,-2.672863,-2.030325,1.657701,0.693893,-2.351594,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36225017,-0.615025,-2.836990,-2.221966,1.726007,0.803471,-2.529478,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36227014,-0.648546,-3.063393,-2.414846,1.855969,0.883150,-2.739120,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36229010,-0.722694,-3.322363,-2.599669,2.022529,0.938487,-2.961016,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36231007,-0.766373,-3.654671,-2.888298,2.210522,1.060963,-3.271484,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36233004,-0.813627,-4.080105,-3.266478,2.446866,1.226425,-3.673291,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36235000,-0.898504,-4.467297,-3.568792,2.682900,1.335144,-4.018044,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36236997,-0.985384,-4.672146,-3.686762,2.828765,1.350689,-4.179454,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36238994,-1.014709,-4.738140,-3.723431,2.876425,1.354361,-4.230785,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36240990,-1.038837,-4.692698,-3.653860,2.865767,1.307511,-4.173279,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36242987,-1.071262,-4.593992,-3.522730,2.832627,1.225734,-4.058361,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36244984,-1.085377,-4.437733,-3.352356,2.761555,1.133490,-3.895044,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36246980,-1.114130,-4.277086,-3.162956,2.695608,1.024413,-3.720021,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36248977,-1.187658,-4.161358,-2.973700,2.674508,0.893021,-3.567529,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
36250973,-1.235485,-4.061747,-2.826262,2.648616,0.795388,-3.444004,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,-400.000000,6
